"Record.number","In-refID","IndividualID","Predator","Predator.common.name","Predator.taxon","Predator.lifestage","Type.of.feeding.interaction","Predator.mass","Prey","Prey.common.name","Prey.taxon","Prey.mass","Prey.mass.unit","Location"
11,"ATSH209",10,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",8.76E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",4.64E+000,"g","Apalachicola Bay, Florida"
12,"ATSH215",11,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",7.92E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.70E+000,"g","Apalachicola Bay, Florida"
13,"ATSH226",12,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.17E+002,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",2.41E+000,"g","Apalachicola Bay, Florida"
14,"ATSH229",13,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",8.33E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.20E-001,"g","Apalachicola Bay, Florida"
15,"ATSH233",14,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",6.39E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",5.41E+000,"g","Apalachicola Bay, Florida"
16,"ATSH233",14,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",6.39E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",6.37E+000,"g","Apalachicola Bay, Florida"
17,"ATSH237",15,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",9.67E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",4.27E+000,"g","Apalachicola Bay, Florida"
18,"ATSH237",15,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",9.67E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",6.56E+000,"g","Apalachicola Bay, Florida"
19,"ATSH262",16,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",7.51E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",4.45E+000,"g","Apalachicola Bay, Florida"
20,"ATSH273",17,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",8.33E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",5.75E+000,"g","Apalachicola Bay, Florida"
21,"ATSH284",18,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",7.51E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.14E+000,"g","Apalachicola Bay, Florida"
22,"ATSH026",19,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.94E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",4.10E+001,"g","Apalachicola Bay, Florida"
23,"ATSH038",20,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.48E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",5.92E+001,"g","Apalachicola Bay, Florida"
24,"ATSH038",20,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.48E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",2.30E+001,"g","Apalachicola Bay, Florida"
25,"ATSH052",21,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.91E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.56E+001,"g","Apalachicola Bay, Florida"
26,"ATSH063",1,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.54E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.77E+001,"g","Apalachicola Bay, Florida"
27,"ATSH069",23,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.51E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",1.82E+001,"g","Apalachicola Bay, Florida"
28,"ATSH073",24,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.72E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.21E+001,"g","Apalachicola Bay, Florida"
29,"ATSH083",25,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.91E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.58E+001,"g","Apalachicola Bay, Florida"
30,"ATSH089",3,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.84E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",4.62E+001,"g","Apalachicola Bay, Florida"
31,"ATSH090",27,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.78E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",2.19E+001,"g","Apalachicola Bay, Florida"
32,"ATSH095",28,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.60E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",2.20E+001,"g","Apalachicola Bay, Florida"
33,"ATSH095",28,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.60E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",1.91E+001,"g","Apalachicola Bay, Florida"
34,"ATSH257",29,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",4.25E+002,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",1.50E+001,"g","Apalachicola Bay, Florida"
35,"ATSH182",30,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",9.67E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",2.04E-001,"g","Apalachicola Bay, Florida"
36,"ATSH182",30,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",9.67E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",1.53E+000,"g","Apalachicola Bay, Florida"
37,"ATSH229",13,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",8.33E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",2.04E-001,"g","Apalachicola Bay, Florida"
38,"ATSH125",32,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",9.67E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",1.91E+000,"g","Apalachicola Bay, Florida"
39,"ATSH226",12,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.17E+002,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",1.16E+000,"g","Apalachicola Bay, Florida"
40,"ATSH226",12,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.17E+002,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",2.13E+000,"g","Apalachicola Bay, Florida"
41,"ATSH226",12,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.17E+002,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.20E+000,"g","Apalachicola Bay, Florida"
42,"ATSH022",34,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",4.00E+002,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",2.05E+000,"g","Apalachicola Bay, Florida"
43,"ATSH022",34,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",4.00E+002,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",2.13E+000,"g","Apalachicola Bay, Florida"
44,"ATSH022",34,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",4.00E+002,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.29E+000,"g","Apalachicola Bay, Florida"
45,"ATSH022",34,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",4.00E+002,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.47E+000,"g","Apalachicola Bay, Florida"
46,"ATSH022",34,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",4.00E+002,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.97E+000,"g","Apalachicola Bay, Florida"
47,"ATSH023",35,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",5.90E+002,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",8.12E+000,"g","Apalachicola Bay, Florida"
48,"ATSH059",36,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.48E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",9.47E+000,"g","Apalachicola Bay, Florida"
49,"ATSH086",37,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.57E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",6.71E+000,"g","Apalachicola Bay, Florida"
50,"ATSH099",38,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",5.06E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",1.08E+000,"g","Apalachicola Bay, Florida"
51,"ATSH007",39,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",9.08E+002,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",2.91E+001,"g","Apalachicola Bay, Florida"
52,"ATSH007",39,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",9.08E+002,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",2.12E-001,"g","Apalachicola Bay, Florida"
53,"ATSH008",40,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.54E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",7.42E+001,"g","Apalachicola Bay, Florida"
54,"ATSH037",41,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",7.55E+002,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",4.47E+000,"g","Apalachicola Bay, Florida"
55,"ATSH226",12,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.17E+002,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",1.33E+000,"g","Apalachicola Bay, Florida"
56,"ATSH023",35,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",5.90E+002,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.37E+000,"g","Apalachicola Bay, Florida"
57,"ATSH018",44,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.98E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",5.68E+000,"g","Apalachicola Bay, Florida"
58,"ATSH074",45,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.78E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",1.53E+001,"g","Apalachicola Bay, Florida"
59,"BTIP110",46,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",4.64E+003,"fish unidentified","fish","ectotherm vertebrate",7.02E+001,"g","Apalachicola Bay, Florida"
60,"BTIP113",47,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",8.97E+003,"fish unidentified","fish","ectotherm vertebrate",7.28E+001,"g","Apalachicola Bay, Florida"
61,"BTIP014",48,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",8.15E+003,"fish unidentified","fish","ectotherm vertebrate",5.36E+001,"g","Apalachicola Bay, Florida"
62,"BTIP152",49,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.03E+003,"fish unidentified","fish","ectotherm vertebrate",2.23E+001,"g","Apalachicola Bay, Florida"
63,"BTIP156",50,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.10E+003,"fish unidentified","fish","ectotherm vertebrate",2.27E+001,"g","Apalachicola Bay, Florida"
64,"BTIP157",51,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.13E+003,"fish unidentified","fish","ectotherm vertebrate",1.24E+001,"g","Apalachicola Bay, Florida"
65,"BTIP157",51,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.13E+003,"fish unidentified","fish","ectotherm vertebrate",1.27E+001,"g","Apalachicola Bay, Florida"
66,"BTIP159",52,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.06E+003,"fish unidentified","fish","ectotherm vertebrate",1.02E+001,"g","Apalachicola Bay, Florida"
67,"BTIP159",52,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.06E+003,"fish unidentified","fish","ectotherm vertebrate",1.03E+001,"g","Apalachicola Bay, Florida"
68,"BTIP159",52,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.06E+003,"fish unidentified","fish","ectotherm vertebrate",9.42E+000,"g","Apalachicola Bay, Florida"
69,"BTIP161",53,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",5.00E+003,"fish unidentified","fish","ectotherm vertebrate",7.64E+001,"g","Apalachicola Bay, Florida"
70,"BTIP163",54,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",5.70E+003,"fish unidentified","fish","ectotherm vertebrate",2.24E+001,"g","Apalachicola Bay, Florida"
71,"BTIP165",55,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",3.34E+003,"fish unidentified","fish","ectotherm vertebrate",1.10E+002,"g","Apalachicola Bay, Florida"
72,"BTIP174",56,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",5.80E+003,"fish unidentified","fish","ectotherm vertebrate",6.94E+001,"g","Apalachicola Bay, Florida"
73,"BTIP176",57,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.28E+003,"fish unidentified","fish","ectotherm vertebrate",1.21E+001,"g","Apalachicola Bay, Florida"
74,"BTIP181",58,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.20E+003,"fish unidentified","fish","ectotherm vertebrate",2.33E+001,"g","Apalachicola Bay, Florida"
75,"BTIP189",59,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.28E+003,"fish unidentified","fish","ectotherm vertebrate",2.55E+001,"g","Apalachicola Bay, Florida"
76,"BTIP190",60,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.28E+003,"fish unidentified","fish","ectotherm vertebrate",4.10E+001,"g","Apalachicola Bay, Florida"
77,"BTIP191",61,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.13E+003,"fish unidentified","fish","ectotherm vertebrate",3.79E+001,"g","Apalachicola Bay, Florida"
78,"BTIP196",62,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",3.06E+003,"fish unidentified","fish","ectotherm vertebrate",9.44E+001,"g","Apalachicola Bay, Florida"
79,"BTIP197",63,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.28E+003,"fish unidentified","fish","ectotherm vertebrate",2.57E+001,"g","Apalachicola Bay, Florida"
80,"BTIP205",64,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.13E+003,"fish unidentified","fish","ectotherm vertebrate",3.25E+001,"g","Apalachicola Bay, Florida"
81,"BTIP058",65,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.35E+003,"fish unidentified","fish","ectotherm vertebrate",3.71E+001,"g","Apalachicola Bay, Florida"
82,"BTIP227",66,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.44E+003,"fish unidentified","fish","ectotherm vertebrate",2.74E+001,"g","Apalachicola Bay, Florida"
83,"BTIP216",67,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.20E+003,"fish unidentified","fish","ectotherm vertebrate",4.65E+001,"g","Apalachicola Bay, Florida"
84,"BTIP225",68,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.89E+003,"fish unidentified","fish","ectotherm vertebrate",4.06E+001,"g","Apalachicola Bay, Florida"
85,"BTIP038",69,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",7.15E+003,"fish unidentified","fish","ectotherm vertebrate",7.59E+001,"g","Apalachicola Bay, Florida"
86,"BTIP095",70,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",2.67E+003,"fish unidentified","fish","ectotherm vertebrate",2.86E+001,"g","Apalachicola Bay, Florida"
87,"BTIP127",71,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",4.12E+003,"fish unidentified","fish","ectotherm vertebrate",4.03E+001,"g","Apalachicola Bay, Florida"
88,"BTIP127",71,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",4.12E+003,"fish unidentified","fish","ectotherm vertebrate",6.52E+001,"g","Apalachicola Bay, Florida"
89,"BTIP139",72,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",6.68E+003,"fish unidentified","fish","ectotherm vertebrate",2.87E+001,"g","Apalachicola Bay, Florida"
90,"BTIP143",73,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",9.54E+003,"fish unidentified","fish","ectotherm vertebrate",9.24E+001,"g","Apalachicola Bay, Florida"
91,"BTIP150",74,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",5.39E+003,"fish unidentified","fish","ectotherm vertebrate",2.46E+001,"g","Apalachicola Bay, Florida"
92,"BTIP158",75,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",4.64E+003,"fish unidentified","fish","ectotherm vertebrate",4.91E+001,"g","Apalachicola Bay, Florida"
93,"BTIP159",52,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.06E+003,"fish unidentified","fish","ectotherm vertebrate",2.51E+001,"g","Apalachicola Bay, Florida"
94,"BTIP167",77,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.28E+003,"fish unidentified","fish","ectotherm vertebrate",5.47E+001,"g","Apalachicola Bay, Florida"
95,"BTIP177",78,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",3.95E+003,"fish unidentified","fish","ectotherm vertebrate",9.53E+001,"g","Apalachicola Bay, Florida"
96,"BTIP183",79,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",6.91E+003,"fish unidentified","fish","ectotherm vertebrate",1.56E+001,"g","Apalachicola Bay, Florida"
97,"BTIP187",80,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",5.20E+003,"fish unidentified","fish","ectotherm vertebrate",3.94E+001,"g","Apalachicola Bay, Florida"
98,"BTIP194",81,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",4.28E+003,"fish unidentified","fish","ectotherm vertebrate",1.48E+001,"g","Apalachicola Bay, Florida"
99,"BTIP194",81,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",4.28E+003,"fish unidentified","fish","ectotherm vertebrate",2.40E+001,"g","Apalachicola Bay, Florida"
100,"BTIP203",82,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",3.06E+003,"fish unidentified","fish","ectotherm vertebrate",3.95E+001,"g","Apalachicola Bay, Florida"
101,"BTIP203",82,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",3.06E+003,"fish unidentified","fish","ectotherm vertebrate",1.77E+001,"g","Apalachicola Bay, Florida"
102,"BTIP203",82,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",3.06E+003,"fish unidentified","fish","ectotherm vertebrate",2.57E+001,"g","Apalachicola Bay, Florida"
103,"BTIP203",82,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",3.06E+003,"fish unidentified","fish","ectotherm vertebrate",2.35E+001,"g","Apalachicola Bay, Florida"
104,"BTIP063",83,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.99E+003,"fish unidentified","fish","ectotherm vertebrate",3.18E+001,"g","Apalachicola Bay, Florida"
105,"BTIP065",84,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",3.20E+003,"fish unidentified","fish","ectotherm vertebrate",1.11E+002,"g","Apalachicola Bay, Florida"
106,"BTIP209",85,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.06E+003,"fish unidentified","fish","ectotherm vertebrate",2.70E+001,"g","Apalachicola Bay, Florida"
107,"BTIP211",86,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",3.06E+003,"fish unidentified","fish","ectotherm vertebrate",2.15E+001,"g","Apalachicola Bay, Florida"
108,"BTIP212",87,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",4.28E+003,"fish unidentified","fish","ectotherm vertebrate",2.94E+001,"g","Apalachicola Bay, Florida"
109,"BTIP213",88,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",4.64E+003,"fish unidentified","fish","ectotherm vertebrate",2.40E+001,"g","Apalachicola Bay, Florida"
110,"BTIP217",89,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.79E+003,"fish unidentified","fish","ectotherm vertebrate",2.19E+001,"g","Apalachicola Bay, Florida"
111,"BTIP223",90,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",4.46E+003,"fish unidentified","fish","ectotherm vertebrate",7.58E+001,"g","Apalachicola Bay, Florida"
112,"BTIP223",90,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",4.46E+003,"fish unidentified","fish","ectotherm vertebrate",5.12E+001,"g","Apalachicola Bay, Florida"
113,"BTIP229",91,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",5.00E+003,"fish unidentified","fish","ectotherm vertebrate",2.58E+001,"g","Apalachicola Bay, Florida"
114,"BTIP229",91,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",5.00E+003,"fish unidentified","fish","ectotherm vertebrate",4.59E+001,"g","Apalachicola Bay, Florida"
115,"BTIP153",92,"Carcharhinus limbatus","Blacktip shark","ectotherm vertebrate","adult","piscivorous",1.52E+003,"fish unidentified","fish","ectotherm vertebrate",2.07E+001,"g","Apalachicola Bay, Florida"
